demo	player	tier	split	trained_frames	raw_frames	paired_cov	peak_hspeed	p50_hspeed	source_sha256
smackdown__rb_fa_1_dm3_adder.qwd	adder	B	train	16196	89595	0.724	1866.1	282.5	0fb8ee96781becd5c538355654d72fe95e63d8b6731ce8ac903180b343944d6f
smackdown__nc_sf_dm3_1_aero.qwd	aero	C	train	6801	86723	0.579	976.4	328.0	3f5508c889ad33fb43a370cf16f7fff0ae2d915be4f94001d1e82d5461ead4d3
smackdown__nc_sf_dm3_2_aero.qwd	aero	C	train	7399	86552	0.556	860.8	321.2	cfc35e4d1919b3e8b472084079590f493694bf1d0f7b24f56bfe63e3d2313425
SmackDown3__ag_fiend_ag_vs___x__dm3_3.qwd	ag	B	train	11564	87797	0.72	944.3	221.9	1f85bcbd881543c6127e6a01db6d4d824ed3426ca2994326f9270c7dc89951d8
smackdown2__chtv-smackdown2-ag_terror_ag_vs_5_dm3.qwd	ag	A	train	8749	86542	0.964	824.2	276.8	67abbc686c69865c4201646dfb89e7aaf3358a980a564e58e00b36758ba0a10d
smackdown__ag-vs-sah-skitter-dm3.qwd	ag	C	train	12597	82605	0.552	1362.0	290.3	cc52ea254f2606e28c18f10795fc978e13924b28ef3f4b5d6e0f2ea163395be2
smackdown__ag-vs-xx-daw-dm3.qwd	ag	C	train	10675	100646	0.592	974.6	324.8	11fe82af2ffcd39ab0b47d559323a54bcc83a8ef490502abe5e3d0e345711e7c
smackdown__ag-vs-xx-thrope-dm3.qwd	ag	C	train	9516	87295	0.585	966.6	329.5	b9ab67d10f6b0e12de4107b51fff56952ab8248625f369cdcb206c11d97616db
SmackDown3__game_537_List_LOK_2_DM3_aircon.qwd	aircon	C	train	9630	95578	0.594	943.9	323.3	c4a7d91fe861951a0b140ddb3c8a73d03c01065ff4119228babc9d9e95ea6af4
smackdown2__thdm_list_1_dm3_aircon.qwd	aircon	C	train	17948	122416	0.625	1280.8	319.5	f8be33d8ca0e724e6ac7f4a6df0e0711358a4ee084cbf3b462254bfcbc7a34b1
SmackDown4__game_721_msr_gs_1_dm3_akbal.qwd	akbal	B	train	8957	86980	0.726	1007.2	319.4	2d7b5bc62613d4b71f6f4551d9347ac9af43b891485667eba85baecab233d0de
SmackDown4__game_730_db_msr_3_dm3_akbal.qwd	akbal	B	train	6911	86148	0.763	1316.0	314.8	da47637a5cf6d09db452d7a7f71bc0b947fff0713a6ecdf09a6b4ba2a82efd04
SmackDown3__game_591_OC_IBH_1_DM3_aKKe.qwd	akke	B	train	5914	86582	0.882	997.3	329.7	ca9dcf0d6eb18f6a77f7676b5175d4c7b8ec4191500fa782a1f76a21f844c79a
quakeworld__CHTV_Orkney-Sweden_Various-Sweden_Various_Various_QW_4v4__4on4_oc_vs_ibh_dm3_akke.qwd	akke	B	train	5914	86582	0.882	997.3	329.7	ca9dcf0d6eb18f6a77f7676b5175d4c7b8ec4191500fa782a1f76a21f844c79a
quakeworld__CHTV_Orkney-Sweden_Various-Sweden_Various_Various_QW_4v4__4on4_oc_vs_omg_dm3_akke.qwd	akke	A	train	8020	86292	0.922	929.3	329.1	2b683e2b0265edf3a1dff10e889d874c68976a5f42b21681cda7aef117253efa
smackdown2__59_akke_dm3.qwd	akke	A	train	10381	86765	0.991	1481.9	325.3	8c50d705a459ed970409b1b74daf356872fe1df6b6ccf1f88a8a6d10e56ead63
smackdown2__60_akke_dm3.qwd	akke	A	train	10144	86528	0.979	1187.7	321.7	55f80b5374d066ce5ec18c3e9b44ea688d66092c0789f53fe26395d767ab38aa
smackdown2__64_akke_dm3.qwd	akke	A	train	5762	86736	0.932	1732.9	329.0	ba347a8ec4c8a0dada13b540a1a9e85c3ef316dfe8d87f8a2503cfe5352b7156
smackdown2__ff_tfp_1_dm3_akke.qwd	akke	A	train	8836	86544	0.942	1218.9	322.0	d08ca18a0cc93d7cf58d2e5a4b0b7fa598cc61a98f90c6c3f11ef1ba94abaf04
smackdown__cmf_cute_1_dm3_amu.qwd	amu	B	train	7788	86462	0.865	1305.2	324.1	4af94b5fbe40507dddef75dfe100b3beeb87ac4ad56109c8fb0a85016b852d22
smackdown2__para_omg_1_dm3_ana.qwd	ana	B	train	10456	86488	0.894	1011.0	322.0	1f28e28044c014f48aa2bba10107931921a0492cb7792a0fa82bd03928c428ae
quakeworld__CHTV_4ng3ls-Portugal_TAV-Portugal_all_dm3_QuakeWorld_4v4__11-07-03_saddam-tav-angels_dm3.qwd	angels	B	train	15663	86802	0.773	1162.6	319.6	bb4b3914304c909e20cd843c3a381829968b86ad7ee57222f43a01368facb5b9
quakeworld__CHTV_4ng3ls-Portugal_TAV-Portugal_all_dm3_QuakeWorld_4v4__11-07-03_soul-tav-angels_dm3.qwd	angels	C	train	19403	85504	0.545	761.3	266.0	7ccc9ca098be7194ce2811b0950f4a0810a938ffbd81a62f1d5d5cd3ba518fb3
quakeworld__CHTV_4ng3ls-Portugal_TAV-Portugal_all_dm3_QuakeWorld_4v4__11-07-03_xai-tav-angels_dm3.qwd	angels	B	train	14098	87318	0.818	1323.3	329.2	7f129f38d37d5c0511f12d917ae40586ded8c3196be3a4ffcf4ac79c316c1d8c
quakeworld__CHTV_O_Cla_[6]-Brazil_Animaniacs_[AnM]-Brazil_doob_dm3_QW_4v4__6_VS_anm_100percent_doob_.qwd	anm	C	train	15244	93484	0.54	1252.7	317.0	d0ccbdc8da480ec78a8730e445ba6acc73a10560b0dba2140a71c9920f659cd3
smackdown2__game_265_AnM_FULL_2_DM3_AnM-Yronman.qwd	anm	C	train	9202	86121	0.452	1957.0	299.8	2596576a49d558d80b13e6b6f450b0c059a9aee40e3c183b7a6868f4d8e654c6
smackdown__sah-vs-fith-dm3-arcane.qwd	arcane	C	train	4318	76547	0.46	1366.1	320.0	baab84f0d42c646a561c532b9f43e4f965f1fe6aa1bdfcbdd72c25a3071bb173
SmackDown3__game_537_List_LOK_2_DM3_arnie.qwd	arnie	B	train	25939	98806	0.805	1658.6	237.7	748a4fa5e0b6c6a015033496744f474750099505bed4186a2afdf3dc9afdf255
smackdown__d2d_list_1_dm3_arnie.qwd	arnie	B	train	4934	64037	0.814	1865.7	320.5	23f2a33619be9c7e3548f7b5a069ed82e7dd101eb18e20b3868cbf319353eda4
smackdown__list_adm_1_dm3_arnie.qwd	arnie	B	train	4808	65951	0.802	915.6	324.0	d45b4572076fed680524f3dfff52287fa622e860c2961779548aa568418ea2d8
smackdown2__amd_para_1_dm3_band.qwd	band	B	train	9082	88327	0.736	2051.2	325.1	fd61939d567e23e34b1703e1561a131597e2cf532bbbe1c8a3da12f1274ded47
quakeworld__CHTV_In_Bloom-Sweden_Various-Sweden_Various_Various_QW_4v4__4on4_ib_vs_diva_dm3_barre.qwd	barre	A	train	7111	86807	0.984	1057.9	323.2	869fee44e3a2f3d2547a654c07ca97d0f68bd8f50e91c46aac8ef47279a7623f
SmackDown4__game_719_fa_gs_1_dm3_beasil.qwd	beasil	B	train	8910	87098	0.812	973.5	320.0	6d6d535e367aeb45932bb9f7db7797b4c85d2602120336125e5ca068f0da97a5
SmackDown3__game_468_PNC_DS_2_DM3_blasu.qwd	blasu	B	train	5363	87302	0.743	1106.1	325.0	d514b371cb7874e5a4817b7df219b860f74edac4191cf62b6da4ba4788855c14
SmackDown3__game_599_CMF_TVS_2_DM3_Blaze.qwd	blaze	A	train	7378	87032	0.988	1116.0	320.4	a81532de531a855512ae4dc5301d949db385f8e3cc8a5dcf877c6a59a5d81cfe
smackdown2__TVS_RC_2_dm3_Blaze.qwd	blaze	A	train	9541	87169	0.954	1011.0	321.1	8f50138defeae725aa7784f14e6498db0a06aa2277e65ce76642e5a7b345721f
smackdown2__game_260___1_DM3_Blaze.qwd	blaze	A	train	5439	86927	0.911	1329.2	320.0	ea4d6fbcd4287963c9491ab86d48abd0bd4593fdd1424904df0bfdfbbaf46a2e
SmackDown3__game_535_FA_Dx_1_DM3_blind.qwd	blind	C	train	12983	86896	0.669	1364.0	323.3	24357415d1ab7fd79746a8ff4fb5a2667e972d4c6ccf5533e7137665602a2974
SmackDown3__game_601_FA_List_2_DM3_blind.qwd	blind	B	train	12495	88673	0.881	1178.7	320.9	bf087de55d1097feb81f7f4017857bc032d98cc41b66451551df83e34b7cebda
SmackDown4__game_738_fa_db_2_dm3_blind.qwd	blind	B	train	16206	90062	0.786	1202.5	321.1	39afe26c245e0f83c365686572022c1ba0ead2dc129f34aff6276a68a8629eab
smackdown__lkdn_ttr_1_dm3_blind.qwd	blind	C	train	12911	87029	0.645	955.8	320.7	f1e1096df8bae7e6d69ff95eb1a9ff12f324ecdfe7d217dfded474ef2196f44a
smackdown__lkdn_ttr_2_dm3_blind.qwd	blind	B	train	11278	96540	0.75	1173.1	323.3	ff1053bc05f6f1eb18ea9811e92bac87d7fb9133e9f35e1a8ae9e19f07e5c0db
quakeworld__CHTV_Maniacs-Sweden_Blt-Finland_Sassa_dm3_QuakeWorld_4v4__sassa_[[0]]_-_[blt]_4-4_dm3_.qwd	blt	A	train	48502	94216	0.993	1008.1	321.4	f536fb811380c5938b81e92bb3c10f3d7038b1aa0042a59a03b7c5163f2b9245
smackdown2__azul_lies_1_dm3_bm.qwd	bm	A	train	4837	71274	0.943	1245.0	327.0	c89c7313ab8a83e4a642811d88aa9c1a7d465dbf80e8ddf6c558e9f7b1ae875f
smackdown__ttr_cyke_1_dm3_bm.qwd	bm	B	train	7561	71125	0.818	1291.8	320.2	c2db4cdb03ca07e79ff47954ad3269da821b8b1b87197bce1c4d801caccb4722
SmackDown3__game_466_CMF_OC_1_DM3_brutal.qwd	brutal	A	train	12023	87160	0.994	1000.5	319.2	59332aa209d7483e2d3ef6dd431c343ef143eabe7920aecffe2a3a0ce060a773
SmackDown3__game_466_CMF_OC_2_DM3_brutal.qwd	brutal	B	train	8361	88544	0.863	1649.2	322.5	d37124f420a444bfb164b721fbbe7d359207cf10e77a1ac588f32f924c397ea3
quakeworld__CHTV_Orkney-Sweden_Various-Sweden_Various_Various_QW_4v4__4on4_oc_vs_cmf_dm3_brutal.qwd	brutal	B	train	8361	88544	0.863	1649.2	322.5	d37124f420a444bfb164b721fbbe7d359207cf10e77a1ac588f32f924c397ea3
smackdown2__AG_XX_1_dm3_BullDozer.qwd	bulldozer	B	train	9112	92529	0.834	1317.6	324.0	85f42c387d7be8532ceb1bb9775637de53abcf70b1053dc268862fad69c93036
smackdown2__st_5_1_dm3_carnage.qwd	carnage	B	train	9658	59019	0.741	2939.2	319.4	1ba1ecf3a7c4068e89f58eae888303e72be36d7e37815cc3eb004e230d298c91
SmackDown3__game_341_IB_NME_1_DM3_Cero.qwd	cero	A	train	12079	87537	0.965	973.3	319.9	36a36649343dd1c7b7ca66b3127f702f14cee00ba7984e1012a4a4a6bae84845
smackdown__cero_pq_vs_lit_dm3.qwd	cero	A	train	6971	87672	0.923	1338.3	320.3	2043a0ae39eade6396d275118cac69ff753a7a7d6423bc2ac51f9a5219e7f194
smackdown2__clown_xx_cg_dm3.qwd	cg	B	train	5840	86863	0.717	1433.3	319.3	a7908dc48fa023ee95fd64c636fb1a5f2c0b1924025afac17aba4e1c75a7de0a
SmackDown3__game_588_Diva_TOT_2_DM3_circle.qwd	circle	B	train	10600	89033	0.878	1038.4	320.1	0f0ee442a61c6c480e30bd229e93cc2bf3e054a19b6a78062dd54867409b1981
SmackDown3__game_451_Quad_ED_1_DM3_clawfinger.qwd	clawfinger	B	train	65228	212033	0.822	1360.4	319.5	3ff4c6dd1bc01790e60f36b3e4346321b26afd04bc18a41a202df8400216c311
smackdown2__CG_EG_1_dm3_cleansweep.qwd	cleansweep	B	train	3187	71089	0.751	1308.8	324.3	5ba94b52e5203fa59dbd3cba51d81715a3833e995511472092c463f6a2390b12
quakeworld__CHTV_fspanic-Sweden_cmf-Sweden_panic_DM3_QuakeWorld_4v4__panic_[[fs]]_-_[cmf]_4-4_dm3_.qwd	cmf	C	train	899	92630	0.25	607.8	274.1	9ba4936164dbda0b9c328837e366c1b7b6d3b8facff8c5f998c070040db86feb
smackdown__akke_cmf_dm3.qwd	cmf	A	train	10517	86741	0.993	1035.7	325.3	a8b9eed9776f4cd571e052cb586636c032054184ab9f9857d55a60287f22bcbe
smackdown__exile_cmf_dm3.qwd	cmf	A	train	10716	87307	0.987	1295.6	319.7	fa093d6b1fd18bbbae51b282f79f4d31f90a659dd51fb7f43a5e9c800a0cf6c6
smackdown__pietro_cmf_dm3.qwd	cmf	A	train	8260	88491	0.988	1797.0	320.1	122702db7a1fc593fb05eb7fa2db799fb5c6d9d53c01914a58af3ddb6fc36212
quakeworld__CHTV_BogoJoker-USA_none-USA_BogoJoker_various_QuakeWorld_Trick__dm3-cool3.qwd	cool3	C	train	165	994	0.545	474.0	413.2	be63b14998d17b42b895b308c5891a93181106db573425d356a44c725a473db3
quakeworld__CHTV_CoP-Sweden_ACE-Sweden_Triplesix_dm3_e2m5_QW_CTF__CoP_ACE1.qwd	cop	C	train	819	29857	0.257	1228.1	241.8	580e8c0f1d59f568f66d814ecaa16d395f09521c3e5478259d8943b96a716ab7
quakeworld__CHTV_CoP-Sweden_ACE-Sweden_Triplesix_dm3_e2m5_QW_CTF__CoP_ACE2.qwd	cop	C	train	1437	30426	0.331	1034.2	193.8	f29e1638c2c325ff39797d6b420407db18b79ca55dca6c0f207f035548bc0fc7
quakeworld__CHTV_Antiquad-Finland_DeathTeam-Russia_Cougar_dm3_QuakeWorld_4v4__CB_aq_vs_dt_dm3_cougar.qwd	cougar	B	train	18725	93816	0.876	1164.2	332.6	6f3b40760fbcc533179fc90499e0c68a358088d6cc6e528d10a1d12e35c09798
SmackDown3__game_510_FS_HPR_2_DM3_crit.qwd	crit	B	train	10367	87338	0.825	1335.0	320.0	dae3be9a545674544104764831f9627ec4f351cfa24f5d5480b36454edb1c589
SmackDown3__game_597__L__FS_3_DM3_crit.qwd	crit	B	train	7243	87218	0.801	1414.4	326.1	8c9848a6af866f04db4453573d3751c1e531fe985597f92410471fc76e353a7e
SmackDown4__game_743__fs__tot_1_dm3_crit___.qwd	crit	B	train	4750	86338	0.844	1033.8	333.0	69775846c673b9a23743920aa38127e5d4429862502558f28562e831831cb1ff
SmackDown4__game_743__fs__tot_2_dm3_crit___.qwd	crit	B	train	9682	89190	0.843	1102.9	330.4	24ceeb358759c4d712010a4a1e1dedb9969881edd183fc64bec66872759bedee
SmackDown4__game_749__fs__tvs_3_dm3_crit.qwd	crit	B	train	6702	87615	0.895	1565.5	327.2	eaaaae3387e8a9109fa3ac3e28e12017b6b0ae2c1dbc46bfe74183f6ca256002
SmackDown5__game_901_cb_fs_1_dm3_crit.qwd	crit	A	train	7802	86905	0.928	1574.0	329.3	d0114ec3563e5ad2eae70146f41784c3d022399107b3ee7d793e285087834e1c
smackdown2__fs_oc_3_dm3_crit.qwd	crit	A	train	11640	87359	0.933	1421.0	312.6	9588d80f533577ca2f66ca41d46438be340af5991678a45ff4276c07ab7aa9d6
smackdown2__game_242_FS_NS_3_DM3_Crit.qwd	crit	B	train	9130	89694	0.877	1185.9	320.0	9cc22a8c1090326d628397912a3fd38f41b598f82bde75be83d3046241f7119d
SmackDown3__game_538_WaP_OZ_2_DM3_czm.qwd	czm	A	train	3484	85021	0.924	1267.8	327.6	36cc583ef57813ca3a18512bdaee398885d008bacb0996d8a1ee0d6ab9580115
smackdown2__ff_tfp_1_dm3_dag.qwd	dag	A	train	6609	86723	0.928	1109.7	336.2	f30ac9a73cff77cfc659cb423f40958bfdfeb0ce2431c113d581de9324b8ebc2
smackdown__ff_4x_1_dm3_dag.qwd	dag	A	train	8899	87164	0.942	915.0	321.8	5910d780ede00f09f096b789fd143db010d9c576be33c9aaa1b4ef3599900045
SmackDown3__game_561_Twats_HPR_1_DM3_dakoth.qwd	dakoth	A	train	13384	95099	0.934	1137.4	319.3	d80ed78a4b410310f061695e7508732dde7abea19a6a50c7025e0b57d85a6c07
smackdown__dx_ho_1_dm3_dana.qwd	dana	B	train	9968	85025	0.733	1252.6	332.7	4ae544b76364c618e386a0a4984f9a00dcb3b4390daf503a3d19cea853991c4d
smackdown2__CMF_ADT2_1_dm3_Dare.qwd	dare	B	train	4476	84485	0.864	899.2	327.4	66b17cdf85152ef66e45fb2154584b8f0dfa57e42905c373c13b193b38c5987d
smackdown__cmf_vs_quad_1_dm3_dare.qwd	dare	B	train	13784	79193	0.895	1058.3	316.8	4d7eb484a34b49cd273ef1a2cea03959cd105471d8ba73a47dc40403ee582371
quakeworld__CHTV_Caps_Lock-Sweden_Various-Sweden_Various_Various_QW_4v4__4on4_caps_vs_z_dm3_dark.qwd	dark	B	train	10383	87296	0.78	1107.6	323.0	a5c19a2ec736994438d7635a87627eb1c1f3f58b5dd9177b7600574d96da2be3
smackdown2__tdi_fe_1_dm3_dark.qwd	dark	A	train	9045	88171	0.934	950.7	331.5	5909ccf293764c78a5775f4af6f3649a95d4022ffd4c42a93076bd5bf2a5c366
smackdown2__foad_aok_2_dm3_darkone.qwd	darkone	C	train	16996	86503	0.691	1054.4	319.4	cc1119148d9b663671589d112b3cd5354b9c58a4e4f939a4f3974077bc03edb5
smackdown2__foad_azul_1_dm3_darkone.qwd	darkone	B	train	13827	87085	0.875	1202.0	319.3	7906ccd80fbcb02466c758f0947a4d47dd9d06a40471d362c40c7cca8e233fa6
smackdown2__foad_lies_1_dm3_darkone.qwd	darkone	B	train	10541	87058	0.722	1012.5	323.2	d6606e7f440235d78fd0f33368a064b1ed6b6ef69c441ce9723123cc705de4c8
smackdown2__foad_mu_1_dm3_darkone.qwd	darkone	C	train	10734	87581	0.695	925.8	320.1	2f3a2834a14152d95fd20cad4cb7b34257a4bebc52844ff530bcd9bd170f9087
quakeworld__CHTV_Spartacus-Sweden_Various-Sweden_Various_Various_QW_4v4__4on4__s__vs_z_dm3_daver.qwd	daver	A	train	36627	85608	0.92	1975.0	320.0	ce4ece644bfd51733f42162bfeba60e971dd8095bae678a05bd788bead991899
smackdown__z_nc_1_dm3_dedi.qwd	dedi	B	train	6469	85084	0.859	1057.3	322.1	a02d2607825496d47566c5ef9a6cc0b1a304c61f148eb418e3177b5059548454
SmackDown3__game_579_AG_WaP_1_DM3_def.qwd	def	A	train	8436	88367	0.963	1003.3	328.1	2d5c90931676c20fba003d31d689002fe4243e7408d681d9bd16dcbe705fd7b1
smackdown2__AG_[vs]_XX2__dm3__def.qwd	def	B	train	3730	87304	0.765	986.0	336.0	a338ce4c650b7dbfbb87775f8e4049bb9d4d9357c1e18351211dad9e88875db3
SmackDown3__game_425_FS_CD_1_DM3_delta.qwd	delta	A	train	10610	88334	0.968	1189.6	321.6	4a9fe048782e91cca7c809def76a4da15882f12ace25e419493fc6a4ed580081
smackdown2___dg_saturn__dg__vs_gq_dm3_2.qwd	dg	B	train	9703	85705	0.768	1285.4	319.5	f419927d178bcb1e23b1fb495075e6c9aecafc726e06257e1d58fb8a6567034f
smackdown2__x_gq_dg_dm3.qwd	dg	B	train	13751	87653	0.809	2120.0	320.8	36d278f095df4a4a96960458547ef66d1d21e640798f13dabba0d6ed5bdb7197
quakeworld__CHTV_r3v-USA_vs-USA_d1eh4rd-r3v_dm3_QW_4v4__diehard_vs1.qwd	diehard	C	train	2352	94341	0.187	702.4	248.9	0e73706d71a202fcf19db8d0dca5e4602fee458061c8913caac9e71f6df8f55b
quakeworld__CHTV_r3v-USA_vs-USA_diehard-r3v_dm3_QW_4v4__diehard_vs2.qwd	diehard	C	train	5443	91784	0.334	463.2	276.0	5330f45f287c4037e54a9567a3082e7df23a2565be9f3351a8ce49ef17b51609
quakeworld__CHTV_unnamed-None_none-None_unnamed_dm3_QuakeWorld_Trick__dm3pentnailclimb.qwd	dm3pentnailclimb	A	train	151	352	0.935	76.6	1.0	653ae964a8e95cd7a1d2c5ae3064c997e3596b3cae6eab483a105177f08ba620
smackdown__ibh_dn_1_dm3_123.qwd	dn	A	train	8831	86696	0.905	2586.1	322.2	0ef01a75ef59c7eca2c704f128a3d8ba24c6709d71ec9fe3eccb8d470d6cbc6f
quakeworld__CHTV_Teddybears-Sweden_Various-Sweden_Various_Various_QW_4v4__4on4_tb_vs_e_dm3_doomer.qwd	doomer	B	train	38608	84349	0.834	1568.2	320.8	e550d2f3332960f93843e7a310cbd16b390b155998e42ca088991b8618b25df1
SmackDown3__game_563_THDM_FOAD_1_DM3_driz.qwd	driz	A	train	12542	86964	0.936	1399.4	319.7	2365dae7a33dc51db3c87dc4d8507a377690585bf1bfa262c0706c0622681a4c
SmackDown5__game_1020_thdm_fa_1_dm3_driz.qwd	driz	C	train	7304	86905	0.619	1045.6	327.5	b015a95cb44c3b1e665f28d22bdff8c4ea7ea39f6b35145fd9a43ab7f6b4d279
SmackDown5__game_1024_thdm_list_1_dm3_driz.qwd	driz	B	train	4671	86526	0.729	1761.2	326.7	7f4a65a68370431aa2430356e0232b169eee8f0205393132ef268a41ddb92fbc
smackdown2__thdm_list_1_dm3_driz.qwd	driz	A	train	4157	84484	0.938	1250.3	333.1	81523f6a217afd285eabf08a18aa79575b175fc8a51e3d7c72336c9d6661dfb5
smackdown2__ic_dx_1_dm3_dude.qwd	dude	B	train	6424	85953	0.836	1219.7	328.4	58f63aba2cfc08a78a93101ff462790f73de66a90baf486f4aef3ead023b6792
smackdown2__ic_poc_1_dm3_dude.qwd	dude	C	train	7902	84423	0.696	1973.8	324.5	6b822a0943c0432a80a38b51f0e2620f050b9dd2ee71d4c69c527162770bc22b
quakeworld__CHTV_Maniacs_-Sweden_Dybbuk-Sweden_Sassa_dm3_dm2_e1m2_QuakeWorld_4v4__04-04-04_[0]_vs_dyb_[dm3]_000.qwd	dyb	C	train	7932	91300	0.606	1543.5	327.9	ebe43ffa0aecebcda21c17fb2416cec01b08f22d2bd51b2e924aa1939f6803a5
SmackDown4__game_674_4k_fe_1_dm3_dyn.qwd	dyn	A	train	9473	87036	0.925	1242.2	326.0	3c467d66ec2993c1ee04b714ea6cb1a9c1b66edc43ecb81a3d6a3b82473f1444
paradoks__e_vs_bad_dm3.qwd	e	A	train	30743	86551	0.916	1368.6	322.4	3c2a445053008610367b601c37a2483d4a917e16198f19847a5186b4bf4cbb44
paradoks__e_vs_code_dm3.qwd	e	B	train	15811	86668	0.839	1194.4	330.0	72b7bb18278099b763895613606523c193ebc3593b42af61d0ee0c87f6421ce0
paradoks__e_vs_tdi_dm3.qwd	e	B	train	17980	59593	0.827	1139.6	323.0	6f729b3e18f242cad26850658e03bc9a41a04e4bd7fa5af35175540da4d3a376
smackdown2__E_vs_ns_Goljat_dm3.qwd	e	B	train	8238	87999	0.806	1299.4	323.7	009a3594754252c816d42d0914845c598e685bb5a89cde41ab014acbc96aa623
smackdown__exile_e3_dm3-2.qwd	e3	A	train	17432	87037	0.996	1299.4	222.5	05d1dd7f0f2f203d9f5e9d222332b046f97cf9630e1a8c42032b9a24dfeddd9f
smackdown__exile_e3_dm3-3.qwd	e3	A	train	11159	88012	0.997	1296.5	308.7	4505304181183a7d25e215fbec82a1473dcc038cf148fdd8cc195b62fdf3b572
quakeworld2__ea_vs_ocr_dm3__ea_vs_ocr_dm3.qwd	ea	C	train	839	62718	0.263	464.3	299.5	4a636387b21c17e735505ed4acf7d7951ddf97fb1fa9a6f598bdb61492df568a
SmackDown3__game_589_OMG__L__1_DM3_Effie.qwd	effie	A	train	63776	77290	0.919	1045.2	328.9	b5be722d70393ed38a1f424524e52c729b4b488f91deead47db44adc88b76e95
SmackDown3__game_597__L__FS_3_DM3_effie.qwd	effie	A	train	21079	85957	0.957	914.6	286.2	6c38eeac6cb806c7f930191bcb48f8039b69848582e203d2dc0ca4fa33addead
SmackDown3__game_407_antx_DS_2_DM3_eraser.qwd	eraser	C	train	11745	87209	0.661	1287.7	319.4	94172358687c0927e0f3752ddde4a7c1a26d594095219ea8ecb646d3941d2ad4
SmackDown3__game_428_ED_DEATH_2_DM3_exile.qwd	exile	B	train	6164	87317	0.884	2579.0	320.1	c80d0af707e582cda390f7cf755bd62f0ebb193b36ce26bb264ad61821232841
SmackDown3__game_465_AMD_ED_1_DM3_exile.qwd	exile	B	train	7748	89604	0.824	1067.4	326.2	6893ce6ffef58ecd4a511e09b38b5e112c9ec4223262b6b3a4e26912a6248f29
SmackDown3__game_472_tFf_ED_1_DM3_exile.qwd	exile	C	train	4595	87195	0.664	1063.8	323.1	e5fb300d916a139a86380389d8f89f5411bae5baa417848a3762100bc7424922
SmackDown3__game_558_ED_WR_2_DM3_exile.qwd	exile	B	train	6051	86931	0.775	917.1	324.7	97352cd8014bf4965b727f1f0e772abccce40235c163bb7a2e6fa8971276828b
SmackDown3__game_593_ED_OC_2_DM3_Exile.qwd	exile	B	train	21900	87467	0.768	1068.2	321.6	b31f3b1da1dfc8017dd12dff11bafa228ca75d93f913479e4b334d9338fac5f7
SmackDown4__game_745_fu__l__1_dm3_exile.qwd	exile	A	train	9465	87052	0.922	1323.5	319.1	818c112d245f6db4f65b4bdb7c74c0939871d412c1c5257a51dcc194b292afc2
